Date ISO;Rx Power [dBm]
2023-06-27 09:09:38;-67
2023-06-27 09:09:38;-70
2023-06-27 09:09:40;-68
2023-06-27 09:09:40;-67
2023-06-27 09:09:41;-70
2023-06-27 09:09:43;-68
2023-06-27 09:09:43;-68
2023-06-27 09:09:43;-70
2023-06-27 09:09:46;-67
2023-06-27 09:09:48;-68
2023-06-27 09:09:51;-68
2023-06-27 09:09:51;-66
2023-06-27 09:09:51;-70
2023-06-27 09:09:54;-68
2023-06-27 09:09:54;-68
2023-06-27 09:09:54;-71
2023-06-27 09:09:56;-68
2023-06-27 09:09:57;-67
2023-06-27 09:09:59;-68
2023-06-27 09:09:59;-68
2023-06-27 09:09:59;-71
2023-06-27 09:10:07;-94
2023-06-27 09:10:07;-66
2023-06-27 09:10:07;-66
2023-06-27 09:10:07;-69
2023-06-27 09:10:08;-66
2023-06-27 09:10:08;-73
2023-06-27 09:10:08;-71
2023-06-27 09:10:08;-74
2023-06-27 09:10:26;-68
2023-06-27 09:10:26;-66
2023-06-27 09:10:26;-70
2023-06-27 09:10:30;-75
2023-06-27 09:10:34;-69
2023-06-27 09:10:34;-70
2023-06-27 09:10:37;-68
2023-06-27 09:10:37;-70
2023-06-27 09:10:45;-77
2023-06-27 09:10:46;-74
2023-06-27 09:10:46;-74
2023-06-27 09:10:50;-68
2023-06-27 09:10:50;-66
2023-06-27 09:10:53;-78
2023-06-27 09:10:53;-73
2023-06-27 09:10:53;-72
2023-06-27 09:10:54;-76
2023-06-27 09:10:54;-69
2023-06-27 09:10:54;-68
2023-06-27 09:11:01;-68
2023-06-27 09:11:01;-67
2023-06-27 09:11:01;-70
2023-06-27 09:11:04;-67
2023-06-27 09:11:04;-66
2023-06-27 09:11:06;-68
2023-06-27 09:11:06;-70
2023-06-27 09:11:09;-68
2023-06-27 09:11:09;-67
2023-06-27 09:11:09;-71
2023-06-27 09:11:12;-68
2023-06-27 09:11:12;-66
2023-06-27 09:11:12;-70
2023-06-27 09:11:17;-67
2023-06-27 09:11:17;-70
2023-06-27 09:11:20;-67
2023-06-27 09:11:22;-68
2023-06-27 09:11:22;-66
2023-06-27 09:11:23;-70
2023-06-27 09:11:25;-68
2023-06-27 09:11:25;-66
2023-06-27 09:11:25;-81
2023-06-27 09:11:28;-75
2023-06-27 09:11:28;-71
2023-06-27 09:11:30;-68
2023-06-27 09:11:33;-68
2023-06-27 09:11:33;-67
2023-06-27 09:11:36;-68
2023-06-27 09:11:36;-66
2023-06-27 09:11:36;-70
2023-06-27 09:11:38;-67
2023-06-27 09:11:39;-66
2023-06-27 09:11:39;-70
2023-06-27 09:11:41;-67
2023-06-27 09:11:41;-67
2023-06-27 09:11:41;-66
2023-06-27 09:11:42;-68
2023-06-27 09:11:47;-67
2023-06-27 09:11:47;-70
2023-06-27 09:11:55;-68
2023-06-27 09:11:55;-71
2023-06-27 09:11:57;-68
2023-06-27 09:11:57;-70
2023-06-27 09:12:00;-68
2023-06-27 09:12:00;-65
2023-06-27 09:12:00;-70
2023-06-27 09:12:03;-68
2023-06-27 09:12:03;-68
2023-06-27 09:12:03;-70
2023-06-27 09:12:05;-68
2023-06-27 09:12:05;-70
2023-06-27 09:12:08;-68
2023-06-27 09:12:08;-67
2023-06-27 09:12:08;-71
2023-06-27 09:12:11;-68
2023-06-27 09:12:11;-66
2023-06-27 09:12:13;-68
2023-06-27 09:12:13;-67
2023-06-27 09:12:16;-68
2023-06-27 09:12:16;-67
2023-06-27 09:12:16;-70
2023-06-27 09:12:19;-68
2023-06-27 09:12:19;-67
2023-06-27 09:12:19;-70
2023-06-27 09:12:21;-67
2023-06-27 09:12:21;-66
2023-06-27 09:12:22;-70
2023-06-27 09:12:25;-75
2023-06-27 09:12:29;-67
2023-06-27 09:12:30;-75
2023-06-27 09:12:32;-69
2023-06-27 09:12:32;-71
2023-06-27 09:12:35;-71
2023-06-27 09:12:38;-70
2023-06-27 09:12:40;-68
2023-06-27 09:12:40;-66
2023-06-27 09:12:43;-66
2023-06-27 09:12:43;-70
2023-06-27 09:12:45;-68
2023-06-27 09:12:46;-67
2023-06-27 09:12:48;-67
2023-06-27 09:12:48;-71
2023-06-27 09:12:51;-68
2023-06-27 09:12:51;-71
2023-06-27 09:12:54;-68
2023-06-27 09:12:54;-68
2023-06-27 09:12:56;-69
2023-06-27 09:12:56;-68
2023-06-27 09:12:56;-70
2023-06-27 09:13:02;-69
2023-06-27 09:13:02;-68
2023-06-27 09:13:04;-70
2023-06-27 09:13:07;-68
2023-06-27 09:13:07;-66
2023-06-27 09:13:07;-70
2023-06-27 09:13:12;-68
2023-06-27 09:13:12;-67
2023-06-27 09:13:15;-68
2023-06-27 09:13:15;-66
2023-06-27 09:13:15;-70
2023-06-27 09:13:18;-89
2023-06-27 09:13:20;-69
2023-06-27 09:13:20;-67
2023-06-27 09:13:21;-77
2023-06-27 09:13:23;-67
2023-06-27 09:13:23;-66
2023-06-27 09:13:23;-67
2023-06-27 09:13:24;-73
2023-06-27 09:13:24;-110
2023-06-27 09:13:29;-72
2023-06-27 09:13:29;-73
2023-06-27 09:13:29;-72
2023-06-27 09:13:29;-67
2023-06-27 09:13:29;-69
2023-06-27 09:13:29;-70
2023-06-27 09:13:29;-70
2023-06-27 09:13:34;-69
2023-06-27 09:13:34;-67
2023-06-27 09:13:34;-71
2023-06-27 09:13:36;-68
2023-06-27 09:13:37;-71
2023-06-27 09:13:39;-69
2023-06-27 09:13:39;-67
2023-06-27 09:13:39;-71
2023-06-27 09:13:42;-69
2023-06-27 09:13:42;-68
2023-06-27 09:13:42;-70
2023-06-27 09:13:45;-68
2023-06-27 09:13:47;-68
2023-06-27 09:13:47;-71
2023-06-27 09:13:50;-69
2023-06-27 09:13:50;-68
2023-06-27 09:13:53;-68
2023-06-27 09:13:53;-71
2023-06-27 09:13:55;-68
2023-06-27 09:13:55;-70
2023-06-27 09:13:58;-68
2023-06-27 09:13:58;-67
2023-06-27 09:13:58;-71
2023-06-27 09:14:01;-68
2023-06-27 09:14:01;-71
2023-06-27 09:14:03;-68
2023-06-27 09:14:03;-71
2023-06-27 09:14:06;-68
2023-06-27 09:14:09;-68
2023-06-27 09:14:09;-66
2023-06-27 09:14:11;-68
2023-06-27 09:14:11;-67
2023-06-27 09:14:14;-68
2023-06-27 09:14:14;-71
2023-06-27 09:14:17;-69
2023-06-27 09:14:17;-68
2023-06-27 09:14:17;-70
2023-06-27 09:14:19;-66
2023-06-27 09:14:20;-70
2023-06-27 09:14:22;-68
2023-06-27 09:14:22;-66
2023-06-27 09:14:22;-70
2023-06-27 09:14:25;-68
2023-06-27 09:14:25;-66
2023-06-27 09:14:25;-70
2023-06-27 09:14:27;-68
2023-06-27 09:14:28;-70
2023-06-27 09:14:30;-69
2023-06-27 09:14:30;-66
2023-06-27 09:14:33;-69
2023-06-27 09:14:33;-70
2023-06-27 09:14:36;-66
2023-06-27 09:14:36;-70
2023-06-27 09:14:38;-68
2023-06-27 09:14:38;-67
2023-06-27 09:14:38;-70
2023-06-27 09:14:41;-70
2023-06-27 09:14:44;-68
2023-06-27 09:14:44;-66
2023-06-27 09:14:44;-71
2023-06-27 09:14:46;-67
2023-06-27 09:14:46;-70
2023-06-27 09:14:49;-68
2023-06-27 09:14:49;-70
2023-06-27 09:14:52;-73
2023-06-27 09:14:52;-70
2023-06-27 09:14:54;-69
2023-06-27 09:14:54;-68
2023-06-27 09:14:57;-70
2023-06-27 09:15:00;-68
2023-06-27 09:15:00;-67
2023-06-27 09:15:00;-70
2023-06-27 09:15:02;-72
2023-06-27 09:15:02;-66
2023-06-27 09:15:03;-65
2023-06-27 09:15:03;-69
2023-06-27 09:15:03;-66
2023-06-27 09:15:03;-71
2023-06-27 09:15:03;-74
2023-06-27 09:15:08;-68
2023-06-27 09:15:08;-68
2023-06-27 09:15:08;-70
2023-06-27 09:15:10;-68
2023-06-27 09:15:10;-66
2023-06-27 09:15:11;-72
2023-06-27 09:15:13;-68
2023-06-27 09:15:13;-68
2023-06-27 09:15:13;-71
2023-06-27 09:15:16;-66
2023-06-27 09:15:16;-71
2023-06-27 09:15:18;-67
2023-06-27 09:15:18;-66
2023-06-27 09:15:19;-70
2023-06-27 09:15:21;-68
2023-06-27 09:15:24;-72
2023-06-27 09:15:24;-65
2023-06-27 09:15:25;-67
2023-06-27 09:15:25;-68
2023-06-27 09:15:45;-67
2023-06-27 09:15:45;-69
2023-06-27 09:15:46;-67
2023-06-27 09:15:46;-65
2023-06-27 09:15:46;-69
2023-06-27 09:15:46;-67
2023-06-27 09:15:46;-72
2023-06-27 09:15:46;-70
2023-06-27 09:15:51;-68
2023-06-27 09:15:51;-66
2023-06-27 09:15:51;-70
2023-06-27 09:15:53;-68
2023-06-27 09:15:53;-66
2023-06-27 09:15:53;-71
2023-06-27 09:16:01;-67
2023-06-27 09:16:01;-68
2023-06-27 09:16:04;-69
2023-06-27 09:16:04;-70
2023-06-27 09:16:07;-67
2023-06-27 09:16:07;-66
2023-06-27 09:16:09;-72
2023-06-27 09:16:09;-72
2023-06-27 09:16:10;-77
2023-06-27 09:16:10;-67
2023-06-27 09:16:10;-70
2023-06-27 09:16:15;-68
2023-06-27 09:16:15;-68
2023-06-27 09:16:17;-69
2023-06-27 09:16:18;-68
2023-06-27 09:16:18;-71
2023-06-27 09:16:20;-68
2023-06-27 09:16:20;-71
2023-06-27 09:16:23;-69
2023-06-27 09:16:23;-69
2023-06-27 09:16:23;-72
2023-06-27 09:16:25;-69
2023-06-27 09:16:28;-68
2023-06-27 09:16:28;-68
2023-06-27 09:16:36;-67
2023-06-27 09:16:36;-72
2023-06-27 09:16:39;-67
2023-06-27 09:16:42;-68
2023-06-27 09:16:42;-67
2023-06-27 09:16:42;-71
2023-06-27 09:16:44;-69
2023-06-27 09:16:44;-66
2023-06-27 09:16:47;-67
2023-06-27 09:16:47;-71
2023-06-27 09:16:50;-71
2023-06-27 09:16:52;-65
2023-06-27 09:16:52;-71
2023-06-27 09:16:55;-68
2023-06-27 09:16:55;-66
2023-06-27 09:16:55;-70
2023-06-27 09:16:58;-69
2023-06-27 09:16:58;-70
2023-06-27 09:17:03;-68
2023-06-27 09:17:03;-68
2023-06-27 09:17:09;-66
2023-06-27 09:17:09;-69
2023-06-27 09:17:09;-67
2023-06-27 09:17:09;-69
2023-06-27 09:17:09;-68
2023-06-27 09:17:09;-67
2023-06-27 09:17:09;-71
2023-06-27 09:17:22;-70
2023-06-27 09:17:25;-76
2023-06-27 09:17:25;-70
2023-06-27 09:17:25;-66
2023-06-27 09:17:25;-79
2023-06-27 09:17:25;-73
2023-06-27 09:17:30;-67
2023-06-27 09:17:30;-68
2023-06-27 09:17:30;-70
2023-06-27 09:17:33;-67
2023-06-27 09:17:33;-70
2023-06-27 09:17:38;-69
2023-06-27 09:17:38;-67
2023-06-27 09:17:41;-67
2023-06-27 09:17:41;-68
2023-06-27 09:17:41;-71
2023-06-27 09:17:46;-68
2023-06-27 09:17:46;-67
2023-06-27 09:17:46;-70
2023-06-27 09:17:54;-68
2023-06-27 09:17:54;-70
2023-06-27 09:17:57;-70
2023-06-27 09:17:59;-68
2023-06-27 09:17:59;-66
2023-06-27 09:18:00;-71
2023-06-27 09:18:02;-66
2023-06-27 09:18:02;-70
2023-06-27 09:18:05;-68
2023-06-27 09:18:05;-67
2023-06-27 09:18:05;-70
2023-06-27 09:18:08;-72
2023-06-27 09:18:08;-75
2023-06-27 09:18:08;-66
2023-06-27 09:18:08;-70
2023-06-27 09:18:08;-66
2023-06-27 09:18:08;-73
2023-06-27 09:18:13;-68
2023-06-27 09:18:13;-70
2023-06-27 09:18:16;-68
2023-06-27 09:18:16;-71
2023-06-27 09:18:18;-68
2023-06-27 09:18:18;-68
2023-06-27 09:18:18;-71
2023-06-27 09:18:21;-68
2023-06-27 09:18:24;-67
2023-06-27 09:18:24;-70
2023-06-27 09:18:26;-68
2023-06-27 09:18:26;-67
2023-06-27 09:18:29;-68
2023-06-27 09:18:29;-67
2023-06-27 09:18:29;-83
2023-06-27 09:18:32;-68
2023-06-27 09:18:32;-68
2023-06-27 09:18:32;-71
2023-06-27 09:18:34;-69
2023-06-27 09:18:34;-67
2023-06-27 09:18:34;-70
2023-06-27 09:18:38;-71
2023-06-27 09:18:38;-74
2023-06-27 09:18:42;-69
2023-06-27 09:18:42;-68
2023-06-27 09:18:42;-72
2023-06-27 09:18:45;-73
2023-06-27 09:18:46;-77
2023-06-27 09:18:50;-67
2023-06-27 09:18:51;-71
2023-06-27 09:18:53;-68
2023-06-27 09:18:53;-70
2023-06-27 09:18:56;-69
2023-06-27 09:18:56;-72
2023-06-27 09:18:58;-69
2023-06-27 09:19:01;-68
2023-06-27 09:19:01;-71
2023-06-27 09:19:04;-68
2023-06-27 09:19:04;-66
2023-06-27 09:19:06;-68
2023-06-27 09:19:07;-67
2023-06-27 09:19:07;-71
2023-06-27 09:19:09;-67
2023-06-27 09:19:09;-72
2023-06-27 09:19:12;-69
2023-06-27 09:19:15;-67
2023-06-27 09:19:17;-69
2023-06-27 09:19:17;-67
2023-06-27 09:19:17;-71
2023-06-27 09:19:20;-77
2023-06-27 09:19:21;-67
2023-06-27 09:19:21;-71
2023-06-27 09:19:21;-68
2023-06-27 09:19:25;-67
2023-06-27 09:19:31;-68
2023-06-27 09:19:31;-66
2023-06-27 09:19:33;-69
2023-06-27 09:19:33;-68
2023-06-27 09:19:33;-71