Timestamp;Date ISO;POTENZA_dBm
1679667211.849776978;2023-03-24 14:13:31;-55
1679667212.171361830;2023-03-24 14:13:32;-53
1679667212.190711904;2023-03-24 14:13:32;-53
1679667217.775202290;2023-03-24 14:13:37;-56
1679667219.975855177;2023-03-24 14:13:39;-54
1679667220.195617344;2023-03-24 14:13:40;-55
1679667220.218788807;2023-03-24 14:13:40;-56
1679667220.262656492;2023-03-24 14:13:40;-61
1679667220.282001233;2023-03-24 14:13:40;-61
1679667224.135782545;2023-03-24 14:13:44;-56
1679667224.155737304;2023-03-24 14:13:44;-57
1679667227.371476747;2023-03-24 14:13:47;-55
1679667227.847535654;2023-03-24 14:13:47;-57
1679667228.217525839;2023-03-24 14:13:48;-57
1679667228.240226728;2023-03-24 14:13:48;-57
1679667228.652813524;2023-03-24 14:13:48;-57
1679667229.057897098;2023-03-24 14:13:49;-57
1679667229.431324172;2023-03-24 14:13:49;-57
1679667230.272767838;2023-03-24 14:13:50;-54
1679667230.684548578;2023-03-24 14:13:50;-55
1679667231.066860985;2023-03-24 14:13:51;-56
1679667231.085260226;2023-03-24 14:13:51;-55
1679667231.405064078;2023-03-24 14:13:51;-56
1679667231.424382059;2023-03-24 14:13:51;-55
1679667231.448829485;2023-03-24 14:13:51;-57
1679667231.510625874;2023-03-24 14:13:51;-61
1679667232.545315707;2023-03-24 14:13:52;-58
1679667232.565568633;2023-03-24 14:13:52;-58
1679667233.627777151;2023-03-24 14:13:53;-54
1679667250.799527011;2023-03-24 14:14:10;-53
1679667250.892245863;2023-03-24 14:14:10;-53
1679667260.392568690;2023-03-24 14:14:20;-57
1679667260.414781968;2023-03-24 14:14:20;-57
1679667260.532837579;2023-03-24 14:14:20;-62
1679667261.122532486;2023-03-24 14:14:21;-57
1679667261.198076393;2023-03-24 14:14:21;-54
1679667262.638596985;2023-03-24 14:14:22;-52
1679667262.657859170;2023-03-24 14:14:22;-52
1679667265.824338631;2023-03-24 14:14:25;-57
1679667265.952499705;2023-03-24 14:14:25;-54
1679667266.095439353;2023-03-24 14:14:26;-58
1679667266.139132761;2023-03-24 14:14:26;-62
1679667266.158640002;2023-03-24 14:14:26;-62
1679667266.721885075;2023-03-24 14:14:26;-57
1679667266.741795649;2023-03-24 14:14:26;-54
1679667267.534580593;2023-03-24 14:14:27;-55
1679667267.554139316;2023-03-24 14:14:27;-57
1679667267.741460278;2023-03-24 14:14:27;-54
1679667268.339391741;2023-03-24 14:14:28;-57
1679667268.561204130;2023-03-24 14:14:28;-57
1679667269.020376518;2023-03-24 14:14:29;-59
1679667269.039761111;2023-03-24 14:14:29;-59
1679667269.064147463;2023-03-24 14:14:29;-56
1679667269.127211407;2023-03-24 14:14:29;-62
1679667270.100720925;2023-03-24 14:14:30;-57
1679667270.189401221;2023-03-24 14:14:30;-55
1679667270.209532962;2023-03-24 14:14:30;-54
1679667285.861015434;2023-03-24 14:14:45;-58
1679667285.886069990;2023-03-24 14:14:45;-57
1679667285.929316934;2023-03-24 14:14:45;-62
1679667286.941306211;2023-03-24 14:14:46;-57
1679667286.962134989;2023-03-24 14:14:46;-57
1679667287.904547340;2023-03-24 14:14:47;-57
1679667288.642240247;2023-03-24 14:14:48;-57
1679667289.404643543;2023-03-24 14:14:49;-57
1679667289.510872321;2023-03-24 14:14:49;-55
1679667290.182565006;2023-03-24 14:14:50;-57
1679667291.295905375;2023-03-24 14:14:51;-58
1679667291.315703690;2023-03-24 14:14:51;-59
1679667291.905618431;2023-03-24 14:14:51;-56
1679667291.924974079;2023-03-24 14:14:51;-57
1679667300.935023555;2023-03-24 14:15:00;-54
1679667300.955774629;2023-03-24 14:15:00;-59
1679667301.055807870;2023-03-24 14:15:01;-59
1679667306.015063830;2023-03-24 14:15:06;-59
1679667306.035538144;2023-03-24 14:15:06;-59
1679667309.863259309;2023-03-24 14:15:09;-62
1679667309.867947457;2023-03-24 14:15:09;-62
1679667309.887888420;2023-03-24 14:15:09;-59
1679667309.908846513;2023-03-24 14:15:09;-59
1679667309.984176087;2023-03-24 14:15:09;-59
1679667310.004304494;2023-03-24 14:15:10;-59
1679667311.466682475;2023-03-24 14:15:11;-56
1679667317.961301600;2023-03-24 14:15:17;-57
1679667317.982124934;2023-03-24 14:15:17;-55
1679667324.573774745;2023-03-24 14:15:24;-57
1679667325.127188966;2023-03-24 14:15:25;-62
1679667325.146561133;2023-03-24 14:15:25;-62
1679667325.170939800;2023-03-24 14:15:25;-57
1679667325.190275522;2023-03-24 14:15:25;-57
1679667325.302149448;2023-03-24 14:15:25;-55
1679667325.390924244;2023-03-24 14:15:25;-59
1679667325.410253263;2023-03-24 14:15:25;-59
1679667325.846176892;2023-03-24 14:15:25;-56
1679667325.867490373;2023-03-24 14:15:25;-56
1679667331.584274851;2023-03-24 14:15:31;-57
1679667331.707628388;2023-03-24 14:15:31;-57
1679667331.727055018;2023-03-24 14:15:31;-55
1679667339.921321013;2023-03-24 14:15:39;-57
1679667340.192958735;2023-03-24 14:15:40;-54
1679667340.212528809;2023-03-24 14:15:40;-54
1679667340.237273383;2023-03-24 14:15:40;-57
1679667340.256614013;2023-03-24 14:15:40;-57
1679667343.354137030;2023-03-24 14:15:43;-55
1679667343.664832770;2023-03-24 14:15:43;-55
1679667344.391381399;2023-03-24 14:15:44;-57
1679667344.411913103;2023-03-24 14:15:44;-58
1679667344.584067770;2023-03-24 14:15:44;-61
1679667344.691024399;2023-03-24 14:15:44;-59
1679667344.830100177;2023-03-24 14:15:44;-55
1679667344.849939862;2023-03-24 14:15:44;-54
1679667345.756364621;2023-03-24 14:15:45;-56
1679667345.776676158;2023-03-24 14:15:45;-56
1679667349.515359267;2023-03-24 14:15:49;-56
1679667350.252688600;2023-03-24 14:15:50;-57
1679667351.018076266;2023-03-24 14:15:51;-59
1679667352.612884969;2023-03-24 14:15:52;-57
1679667353.697695005;2023-03-24 14:15:53;-57
1679667359.051503909;2023-03-24 14:15:59;-57
1679667359.161531705;2023-03-24 14:15:59;-55
1679667392.855034371;2023-03-24 14:16:32;-77
1679667393.768062592;2023-03-24 14:16:33;-54
1679667394.018112351;2023-03-24 14:16:34;-59
1679667394.038137722;2023-03-24 14:16:34;-59
1679667398.213722201;2023-03-24 14:16:38;-57
1679667399.112849959;2023-03-24 14:16:39;-57
1679667399.327446830;2023-03-24 14:16:39;-55
1679667399.348118404;2023-03-24 14:16:39;-55
1679667403.449411160;2023-03-24 14:16:43;-54
1679667403.811893142;2023-03-24 14:16:43;-51
1679667407.784815676;2023-03-24 14:16:47;-55
1679667407.980856936;2023-03-24 14:16:47;-55
1679667408.002225917;2023-03-24 14:16:48;-55
1679667409.221991287;2023-03-24 14:16:49;-57
1679667409.466185916;2023-03-24 14:16:49;-57
1679667409.486246287;2023-03-24 14:16:49;-57
1679667410.706969749;2023-03-24 14:16:50;-57
1679667410.924492119;2023-03-24 14:16:50;-55
1679667411.404282952;2023-03-24 14:16:51;-57
1679667411.426814711;2023-03-24 14:16:51;-59
1679667411.470522063;2023-03-24 14:16:51;-62
1679667411.489884156;2023-03-24 14:16:51;-62
1679667414.000821562;2023-03-24 14:16:54;-57
1679667414.023417969;2023-03-24 14:16:54;-57
1679667417.647976022;2023-03-24 14:16:57;-57
1679667418.881545485;2023-03-24 14:16:58;-57
1679667430.436261552;2023-03-24 14:17:10;-57
1679667430.456801330;2023-03-24 14:17:10;-57
1679667432.954810476;2023-03-24 14:17:12;-52
1679667437.011413455;2023-03-24 14:17:17;-59
1679667437.032483344;2023-03-24 14:17:17;-57
1679667449.053792633;2023-03-24 14:17:29;-56
1679667449.077082707;2023-03-24 14:17:29;-57
1679667449.120862855;2023-03-24 14:17:29;-62
1679667449.822436411;2023-03-24 14:17:29;-58
1679667449.889924762;2023-03-24 14:17:29;-57
1679667450.813637317;2023-03-24 14:17:30;-57
1679667450.833613910;2023-03-24 14:17:30;-57
1679667451.010302984;2023-03-24 14:17:31;-55
1679667451.388161521;2023-03-24 14:17:31;-59
1679667452.746142279;2023-03-24 14:17:32;-52
1679667452.765437779;2023-03-24 14:17:32;-52
1679667452.926145446;2023-03-24 14:17:32;-56
1679667456.532708944;2023-03-24 14:17:36;-57
1679667456.693005407;2023-03-24 14:17:36;-54
1679667457.704399258;2023-03-24 14:17:37;-57
1679667457.862708332;2023-03-24 14:17:37;-57
1679667457.883678887;2023-03-24 14:17:37;-55
1679667459.011455646;2023-03-24 14:17:39;-59
1679667459.030988738;2023-03-24 14:17:39;-60
1679667459.149982720;2023-03-24 14:17:39;-57
1679667460.184984664;2023-03-24 14:17:40;-58
1679667460.242705238;2023-03-24 14:17:40;-55
1679667460.286136293;2023-03-24 14:17:40;-57
1679667460.329703145;2023-03-24 14:17:40;-62
1679667460.349049386;2023-03-24 14:17:40;-62
1679667465.642681160;2023-03-24 14:17:45;-57
1679667465.844769068;2023-03-24 14:17:45;-55
1679667465.889811771;2023-03-24 14:17:45;-58
1679667465.909144957;2023-03-24 14:17:45;-58
1679667465.954321345;2023-03-24 14:17:45;-62
1679667467.576286289;2023-03-24 14:17:47;-57
1679667467.681466215;2023-03-24 14:17:47;-56
1679667467.703795270;2023-03-24 14:17:47;-56
1679667468.572703455;2023-03-24 14:17:48;-57
1679667469.305090325;2023-03-24 14:17:49;-57
1679667471.060974602;2023-03-24 14:17:51;-53
1679667471.733952398;2023-03-24 14:17:51;-58
1679667471.822353360;2023-03-24 14:17:51;-53
1679667471.841674786;2023-03-24 14:17:51;-53
1679667471.866096194;2023-03-24 14:17:51;-51
1679667471.885414546;2023-03-24 14:17:51;-50
1679667471.909834934;2023-03-24 14:17:51;-51
1679667471.974209768;2023-03-24 14:17:51;-52
1679667471.998570397;2023-03-24 14:17:51;-55
1679667475.182647618;2023-03-24 14:17:55;-55
1679667475.822631395;2023-03-24 14:17:55;-58
1679667475.842651969;2023-03-24 14:17:55;-57
1679667475.983883080;2023-03-24 14:17:55;-71
1679667476.675359839;2023-03-24 14:17:56;-57
1679667476.791502320;2023-03-24 14:17:56;-57
1679667477.582628894;2023-03-24 14:17:57;-57
1679667477.602613042;2023-03-24 14:17:57;-57
1679667477.853006412;2023-03-24 14:17:57;-55
1679667478.144248283;2023-03-24 14:17:58;-58
1679667478.169935727;2023-03-24 14:17:58;-62
1679667478.189267431;2023-03-24 14:17:58;-62
1679667478.895159060;2023-03-24 14:17:58;-57
1679667478.914618745;2023-03-24 14:17:58;-58
1679667479.765147152;2023-03-24 14:17:59;-57
1679667479.795319393;2023-03-24 14:17:59;-57
1679667479.871457615;2023-03-24 14:17:59;-55
1679667480.845133725;2023-03-24 14:18:00;-54
1679667480.865150337;2023-03-24 14:18:00;-54
1679667481.955687299;2023-03-24 14:18:01;-52
1679667482.056822317;2023-03-24 14:18:02;-57
1679667509.993388430;2023-03-24 14:18:29;-55
1679667511.512634448;2023-03-24 14:18:31;-57
1679667511.812634003;2023-03-24 14:18:31;-57
1679667513.311833206;2023-03-24 14:18:33;-57
1679667513.644800891;2023-03-24 14:18:33;-57
1679667514.292630650;2023-03-24 14:18:34;-57
1679667514.650223724;2023-03-24 14:18:34;-57
1679667514.675225816;2023-03-24 14:18:34;-57
1679667514.694568409;2023-03-24 14:18:34;-57
1679667514.718984928;2023-03-24 14:18:34;-62
1679667514.738310946;2023-03-24 14:18:34;-62
1679667515.420278983;2023-03-24 14:18:35;-55
1679667515.726763760;2023-03-24 14:18:35;-59
1679667515.746510816;2023-03-24 14:18:35;-58
1679667520.221553258;2023-03-24 14:18:40;-57
1679667520.264055239;2023-03-24 14:18:40;-58
1679667520.311779387;2023-03-24 14:18:40;-62
1679667520.984584294;2023-03-24 14:18:40;-58
1679667522.383579960;2023-03-24 14:18:42;-57
1679667523.562642478;2023-03-24 14:18:43;-57
1679667524.198625126;2023-03-24 14:18:44;-57
1679667524.218250570;2023-03-24 14:18:44;-54
1679667525.070588292;2023-03-24 14:18:45;-53
1679667525.089749199;2023-03-24 14:18:45;-54
1679667525.609353736;2023-03-24 14:18:45;-58
1679667526.250354698;2023-03-24 14:18:46;-56
1679667529.404372234;2023-03-24 14:18:49;-57
1679667529.935651678;2023-03-24 14:18:49;-57
1679667529.955965307;2023-03-24 14:18:49;-57
1679667530.232145863;2023-03-24 14:18:50;-57
1679667531.455418862;2023-03-24 14:18:51;-57
1679667531.518512862;2023-03-24 14:18:51;-62
1679667532.131723139;2023-03-24 14:18:52;-57
1679667532.609561861;2023-03-24 14:18:52;-56
1679667533.234437805;2023-03-24 14:18:53;-57
1679667533.464381102;2023-03-24 14:18:53;-56
1679667535.665755341;2023-03-24 14:18:55;-51
1679667535.685978582;2023-03-24 14:18:55;-51
1679667536.128173396;2023-03-24 14:18:56;-56
1679667539.314452080;2023-03-24 14:18:59;-57
1679667539.811558709;2023-03-24 14:18:59;-57
1679667540.254473727;2023-03-24 14:19:00;-57
1679667541.045754116;2023-03-24 14:19:01;-57
1679667541.442582060;2023-03-24 14:19:01;-57
1679667541.852711004;2023-03-24 14:19:01;-57
1679667542.277014578;2023-03-24 14:19:02;-57
1679667542.669829003;2023-03-24 14:19:02;-57
1679667543.067348355;2023-03-24 14:19:03;-57
1679667543.686740651;2023-03-24 14:19:03;-57
1679667543.728629632;2023-03-24 14:19:03;-57
1679667543.752984169;2023-03-24 14:19:03;-67
1679667544.556128465;2023-03-24 14:19:04;-54
1679667545.583302576;2023-03-24 14:19:05;-57
1679667548.512079685;2023-03-24 14:19:08;-54
1679667549.213341259;2023-03-24 14:19:09;-56
1679667549.232708703;2023-03-24 14:19:09;-57
1679667549.278151074;2023-03-24 14:19:09;-54
1679667549.321850055;2023-03-24 14:19:09;-58
1679667549.365876740;2023-03-24 14:19:09;-61
1679667550.049599555;2023-03-24 14:19:10;-59
1679667550.113273888;2023-03-24 14:19:10;-57
1679667551.123623610;2023-03-24 14:19:11;-60
1679667551.831626702;2023-03-24 14:19:11;-57
1679667552.580736646;2023-03-24 14:19:12;-57
1679667553.303951479;2023-03-24 14:19:13;-57
1679667554.364398182;2023-03-24 14:19:14;-53
1679667558.899977086;2023-03-24 14:19:18;-57
1679667559.032618420;2023-03-24 14:19:19;-55
1679667559.697418623;2023-03-24 14:19:19;-56
1679667559.876187604;2023-03-24 14:19:19;-57
1679667559.895759827;2023-03-24 14:19:19;-57
1679667560.828549993;2023-03-24 14:19:20;-57
1679667560.849634474;2023-03-24 14:19:20;-57
1679667560.982604418;2023-03-24 14:19:20;-55
1679667561.003524585;2023-03-24 14:19:21;-55
1679667561.500687381;2023-03-24 14:19:21;-56
1679667561.566893381;2023-03-24 14:19:21;-61
1679667562.623426140;2023-03-24 14:19:22;-57
1679667563.543416898;2023-03-24 14:19:23;-58
1679667563.763476065;2023-03-24 14:19:23;-59
1679667564.488455046;2023-03-24 14:19:24;-59
1679667564.507820620;2023-03-24 14:19:24;17
1679667564.768428972;2023-03-24 14:19:24;-56
1679667564.787884435;2023-03-24 14:19:24;-51
1679667568.399889451;2023-03-24 14:19:28;-57
1679667568.582279007;2023-03-24 14:19:28;-57
1679667569.080829877;2023-03-24 14:19:29;-57
1679667570.193701783;2023-03-24 14:19:30;-57
1679667570.214747283;2023-03-24 14:19:30;-57
1679667570.485877228;2023-03-24 14:19:30;-55
1679667570.507220172;2023-03-24 14:19:30;-54
1679667571.329803209;2023-03-24 14:19:31;-57
1679667571.632670338;2023-03-24 14:19:31;-56
1679667571.652242616;2023-03-24 14:19:31;-55
1679667572.469761875;2023-03-24 14:19:32;-57
1679667572.489041967;2023-03-24 14:19:32;-57
1679667572.775328911;2023-03-24 14:19:32;-55
1679667573.972277688;2023-03-24 14:19:33;-54
1679667574.359761448;2023-03-24 14:19:34;-51
1679667574.379439725;2023-03-24 14:19:34;-51
1679667580.285880296;2023-03-24 14:19:40;-58
1679667580.329599981;2023-03-24 14:19:40;-62
1679667580.349027092;2023-03-24 14:19:40;-62
1679667581.308576073;2023-03-24 14:19:41;-57
1679667581.329825629;2023-03-24 14:19:41;-57
1679667581.712907110;2023-03-24 14:19:41;-55
1679667581.733526351;2023-03-24 14:19:41;-54
1679667582.712388331;2023-03-24 14:19:42;-57
1679667582.992353257;2023-03-24 14:19:42;-61
1679667583.106160590;2023-03-24 14:19:43;-59
1679667583.126317127;2023-03-24 14:19:43;-59
1679667583.364876109;2023-03-24 14:19:43;17
1679667583.383614053;2023-03-24 14:19:43;17
1679667587.688196903;2023-03-24 14:19:47;-57
1679667588.516269069;2023-03-24 14:19:48;-57
1679667588.536659754;2023-03-24 14:19:48;-57
1679667589.332746494;2023-03-24 14:19:49;-57
1679667589.471362401;2023-03-24 14:19:49;-57
1679667589.492418587;2023-03-24 14:19:49;-57
1679667590.131680068;2023-03-24 14:19:50;-57
1679667590.975311401;2023-03-24 14:19:50;-60
1679667591.213699437;2023-03-24 14:19:51;-57
1679667591.233528937;2023-03-24 14:19:51;-56
1679667591.504746141;2023-03-24 14:19:51;-57
1679667591.526061159;2023-03-24 14:19:51;-59
1679667591.545376289;2023-03-24 14:19:51;-57
1679667591.569698456;2023-03-24 14:19:51;-62
1679667592.213774289;2023-03-24 14:19:52;-57
1679667592.235031696;2023-03-24 14:19:52;-57
1679667593.598730380;2023-03-24 14:19:53;-54
1679667593.618335732;2023-03-24 14:19:53;-54
1679667593.859174621;2023-03-24 14:19:53;-57
1679667593.878532936;2023-03-24 14:19:53;-56
1679667597.991605026;2023-03-24 14:19:57;-58
1679667599.514186784;2023-03-24 14:19:59;-57
1679667599.533230007;2023-03-24 14:19:59;-54
1679667599.705065247;2023-03-24 14:19:59;-56
1679667600.332728969;2023-03-24 14:20:00;-57
1679667600.490098747;2023-03-24 14:20:00;-54
1679667600.509734284;2023-03-24 14:20:00;-55
1679667601.290264265;2023-03-24 14:20:01;-54
1679667602.779825671;2023-03-24 14:20:02;-62
1679667602.824886338;2023-03-24 14:20:02;-56
1679667602.957298430;2023-03-24 14:20:02;-55
1679667603.045043690;2023-03-24 14:20:03;-58
1679667603.391690541;2023-03-24 14:20:03;-56
1679667603.410941338;2023-03-24 14:20:03;-56
1679667607.232991669;2023-03-24 14:20:07;-54
1679667607.255019280;2023-03-24 14:20:07;-55
1679667607.923884687;2023-03-24 14:20:07;-57
1679667608.066852020;2023-03-24 14:20:08;-56
1679667608.377409890;2023-03-24 14:20:08;-57
1679667608.443636501;2023-03-24 14:20:08;-62
